pin_nbr,pin,the_geom,low_address,high_address,street_direction,street_name,street_type,community,ward,status
16092200350000,16-09-220-035-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7492348188088,41.890533236178],[-87.7493266434132,41.8905324408385],[-87.7493388806746,41.8908743811153],[-87.7492470550804,41.8908752313437],[-87.7491583878723,41.8908760975655],[-87.7491466672271,41.8905339952442],[-87.7492348188088,41.890533236178]]]]}",4926,4926,W,RACE,AVE,AUSTIN,37,sold
16092220080000,16-09-222-008-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7495822798419,41.8900061868956],[-87.7496208460283,41.8900058340832],[-87.7496340311501,41.8903487122228],[-87.7495954647575,41.8903490650383],[-87.7495494793868,41.8903494350109],[-87.7495362942174,41.8900066117469],[-87.7495822798419,41.8900061868956]]]]}",4937,4939,W,RACE,AVE,AUSTIN,37,sold
16093020150000,16-09-302-015-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7610006307721,41.8864389510524],[-87.7610036911593,41.8865322158396],[-87.7604408543718,41.8865398375556],[-87.7604377952934,41.8864465178761],[-87.7610006307721,41.8864389510524]]]]}",322,322,N,LONG,AVE,AUSTIN,37,sold
16093100220000,16-09-310-022-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7595354001291,41.8850262550571],[-87.7595388010086,41.885122265853],[-87.759037453418,41.8851297488415],[-87.7590337595118,41.8850337365665],[-87.7595354001291,41.8850262550571]]]]}",224,224,N,LOREL,ST,AUSTIN,28,sold
16093100250000,16-09-310-025-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7595253741679,41.8847431083045],[-87.7595287158193,41.8848375271453],[-87.7590264891254,41.8848450056965],[-87.7590228544374,41.8847505853767],[-87.7595253741679,41.8847431083045]]]]}",214,214,N,LOREL,AVE,AUSTIN,28,sold
16093120030000,16-09-312-003-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7571099185098,41.885192157285],[-87.7575726102916,41.8851872331622],[-87.7575768945472,41.8852990553074],[-87.757114128514,41.8853039790738],[-87.7571099185098,41.885192157285]]]]}",231,231,N,LOCKWOOD,AVE,AUSTIN,28,sold
16093150290000,16-09-315-029-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.762211741919,41.882916700208],[-87.7623327208121,41.8829150515093],[-87.7624058072576,41.8829140976411],[-87.7624082086248,41.8829826060444],[-87.7624106090191,41.883051224212],[-87.761757895091,41.8830600521209],[-87.7617554219529,41.8829914335785],[-87.7617530217721,41.8829228702835],[-87.7618886180724,41.8829210203801],[-87.7619693439558,41.8829199401483],[-87.7620502167209,41.8829188605904],[-87.7621309426,41.882917780245],[-87.762211741919,41.882916700208]]]]}",120,120,N,LOTUS,AVE,AUSTIN,28,sold
16093160260000,16-09-316-026-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.760359663907,41.883559123965],[-87.760874507673,41.8835522513132],[-87.7608769803731,41.8836208149795],[-87.7608794530777,41.883689378645],[-87.7603646811633,41.883696306561],[-87.7603621355663,41.8836277425215],[-87.760359663907,41.883559123965]]]]}",142,146,N,LONG,AVE,AUSTIN,28,sold
16093170140000,16-09-317-014-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7589892754697,41.8838746179557],[-87.7595373185669,41.8838678624514],[-87.7595407410135,41.8839614584352],[-87.7589928440028,41.8839682146854],[-87.7589892754697,41.8838746179557]]]]}",154,154,N,LOREL,AVE,AUSTIN,28,sold
16093170310000,16-09-317-031-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7589336729914,41.8824317978695],[-87.759117231875,41.8824294776175],[-87.7591304661928,41.8827724103085],[-87.7589469063278,41.8827747305754],[-87.7589336729914,41.8824317978695]]]]}",5331,5331,W,WASHINGTON,BLVD,AUSTIN,28,sold
16093190180000,16-09-319-018-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7617099019909,41.8816876884261],[-87.7623631885001,41.8816789733875],[-87.7623641197371,41.8817063656324],[-87.7623664470997,41.8817749285678],[-87.7623666185617,41.8817804179202],[-87.7617133310191,41.8817891329717],[-87.7617131596131,41.8817836436187],[-87.761710833438,41.8817150257919],[-87.7617099019909,41.8816876884261]]]]}",48,48,N,LOTUS,AVE,AUSTIN,29,sold
16093230100000,16-09-323-010-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7574390698412,41.8817535082068],[-87.7574426641183,41.8818439767005],[-87.75698366109,41.8818497421203],[-87.7569800674603,41.8817592736164],[-87.7574390698412,41.8817535082068]]]]}",47,47,N,LOCKWOOD,AVE,AUSTIN,28,sold
16094030370000,16-09-403-037-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7542882050557,41.8857611717895],[-87.7543831873886,41.8857596748147],[-87.7544027126946,41.8862816742401],[-87.7543076556474,41.8862832257382],[-87.7542882050557,41.8857611717895]]]]}",5136,5136,W,FULTON,ST,AUSTIN,28,sold
16101080410000,16-10-108-041-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.743498203017,41.890606659103],[-87.7435861389077,41.8906054093016],[-87.7435984614108,41.8909427402539],[-87.7435105245526,41.8909440449441],[-87.7434626254905,41.8909447868437],[-87.7434503047119,41.8906073461168],[-87.743498203017,41.890606659103]]]]}",4704,4704,W,RACE,AVE,AUSTIN,28,sold
16114010080000,16-11-401-008-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.712806352041,41.8875255887128],[-87.7128981772193,41.8875243285379],[-87.7129122310022,41.8879620565623],[-87.7128204062592,41.8879632069801],[-87.712806352041,41.8875255887128]]]]}",3440,3440,W,CARROLL,AVE,EAST GARFIELD PARK,28,sold
16114010090000,16-11-401-009-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7127146008377,41.8875267943291],[-87.712806352041,41.8875255887128],[-87.7128204062592,41.8879632069801],[-87.7127286549609,41.8879643577213],[-87.7127146008377,41.8875267943291]]]]}",3438,3438,W,CARROLL,AVE,EAST GARFIELD PARK,28,sold
16114010110000,16-11-401-011-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7125309515304,41.8875292045477],[-87.7126227761853,41.8875279994751],[-87.7126368302132,41.8879655079922],[-87.712545005463,41.8879666581897],[-87.7125309515304,41.8875292045477]]]]}",3434,3434,W,CARROLL,AVE,EAST GARFIELD PARK,28,sold
16114030200000,16-11-403-020-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7141690288718,41.8869144459918],[-87.7142615881496,41.8869131337984],[-87.7142730357826,41.8873250517655],[-87.7141804029938,41.887326308686],[-87.7141690288718,41.8869144459918]]]]}",3513,3513,W,CARROLL,AVE,EAST GARFIELD PARK,28,sold
16114030280000,16-11-403-028-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7151595039596,41.8864338310863],[-87.7152719704491,41.8864321861569],[-87.7152833563694,41.8868435548849],[-87.7151708896875,41.8868451449384],[-87.7151595039596,41.8864338310863]]]]}",3540,3540,W,FULTON,ST,EAST GARFIELD PARK,28,sold
16114030350000,16-11-403-035-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7143413136864,41.8864456149023],[-87.7144338722856,41.8864443025654],[-87.7145265048567,41.8864429356675],[-87.7145378865243,41.8868542495545],[-87.714445253359,41.8868556164574],[-87.7143526936364,41.8868569836815],[-87.7142600609948,41.886858295553],[-87.7142486811092,41.8864469816508],[-87.7143413136864,41.8864456149023]]]]}",3518,3518,W,FULTON,BLVD,EAST GARFIELD PARK,28,sold
16114030390000,16-11-403-039-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7137857401043,41.8864536508143],[-87.713878298721,41.8864523389253],[-87.7139709313102,41.8864509724757],[-87.7139823094142,41.8868622863932],[-87.7138896762308,41.8868636528478],[-87.7137971170204,41.8868649647419],[-87.7137060267232,41.8868662844872],[-87.7136946503914,41.8864549705545],[-87.7137857401043,41.8864536508143]]]]}",3500,3502,W,Fulton St,,EAST GARFIELD PARK,28,sold
16114040350000,16-11-404-035-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7123543838251,41.8864742403915],[-87.7124278429795,41.8864732105855],[-87.7125013026634,41.8864721258505],[-87.7125126143668,41.8868817381088],[-87.7124391552764,41.8868827130837],[-87.712365475847,41.8868836868202],[-87.7123543838251,41.8864742403915]]]]}",3430,3430,W,FULTON,ST,EAST GARFIELD PARK,28,sold
16114040420000,16-11-404-042-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7116610732518,41.8864842653826],[-87.7117528980141,41.8864828963494],[-87.7117711896272,41.88648261116],[-87.7117814764052,41.8868913946624],[-87.7117631852074,41.8868916249706],[-87.7116713614561,41.886892829362],[-87.7115979023467,41.8868938037987],[-87.7115876140784,41.8864852946979],[-87.7116610732518,41.8864842653826]]]]}",3408,3410,W,FULTON,BLVD,EAST GARFIELD PARK,28,sold
16114040450000,16-11-404-045-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7112940700834,41.8864895228444],[-87.7113856739891,41.8864882077934],[-87.7113959636325,41.8868964424933],[-87.7113042867625,41.8868976473866],[-87.7112940700834,41.8864895228444]]]]}",314,314,N,HOMAN,AVE,EAST GARFIELD PARK,28,sold
16114050630000,16-11-405-063-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.708831368536,41.8865220954771],[-87.7089195189806,41.886520928268],[-87.7089297221493,41.8869288882708],[-87.7088415711439,41.8869300554838],[-87.708831368536,41.8865220954771]]]]}",3300,,W,FULTON,,EAST GARFIELD PARK,28,sold
16114060170000,16-11-406-017-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7142254322982,41.885842408861],[-87.7142216686559,41.8855703789628],[-87.7142981928777,41.8855712854548],[-87.714301902473,41.8858413392028],[-87.7142254322982,41.885842408861]]]]}",3514,3514,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114070010000,16-11-407-001-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7133120148279,41.8858968663545],[-87.7134039058074,41.8858961549761],[-87.7134957238714,41.8858953882456],[-87.7135035180192,41.8861832467548],[-87.7134116942371,41.8861845623091],[-87.7133198704522,41.8861858777899],[-87.7133120148279,41.8858968663545]]]]}",237,241,N,ST LOUIS,AVE,EAST GARFIELD PARK,28,sold
16114070100000,16-11-407-010-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.712485801196,41.8859035442289],[-87.7125776192727,41.8859027782327],[-87.7125855733181,41.8861964554623],[-87.7124937495072,41.8861977702824],[-87.712485801196,41.8859035442289]]]]}",3435,3435,W,FULTON,ST,EAST GARFIELD PARK,28,sold
16114070120000,16-11-407-012-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7123447688018,41.8859047026548],[-87.7123668788406,41.8859044929033],[-87.7124123469462,41.8859041350202],[-87.7124202901375,41.8861988550147],[-87.7123748926107,41.8861994877067],[-87.7123527814072,41.8861998072232],[-87.7123447688018,41.8859047026548]]]]}",3431,3431,W,FULTON,BLVD,EAST GARFIELD PARK,28,sold
16114080200000,16-11-408-020-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.708810137512,41.8858362481018],[-87.7088982870138,41.8858350809025],[-87.7089864365131,41.8858339136355],[-87.7089996905441,41.886245402901],[-87.708911613924,41.8862465705737],[-87.7088234638566,41.8862477377794],[-87.708810137512,41.8858362481018]]]]}",3301,3303,W,FULTON,ST,EAST GARFIELD PARK,28,sold
16114080250000,16-11-408-025-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7081051622806,41.8858455295776],[-87.7081933118014,41.8858443629196],[-87.7082814613198,41.8858431961938],[-87.7083695373913,41.8858420290007],[-87.7083828609086,41.8862535187098],[-87.708294710827,41.8862546855094],[-87.7082066341879,41.8862558526412],[-87.7081184841015,41.8862570193055],[-87.7080304074577,41.8862581863021],[-87.7079421844567,41.8862592975492],[-87.7079289372117,41.8858478082086],[-87.708017086202,41.8858466965679],[-87.7081051622806,41.8858455295776]]]]}",3243,3253,W,FULTON,BLVD,EAST GARFIELD PARK,28,sold
16114080800000,16-11-408-080-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7076106294765,41.8854696187383],[-87.7076215767161,41.8858079889211],[-87.7075509102466,41.8858089211016],[-87.7075399628443,41.8854706057966],[-87.7076106294765,41.8854696187383]]]]}",3232,3232,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114080850000,16-11-408-085-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7071997766921,41.8854755572333],[-87.7072915995257,41.88547424664],[-87.7073025493683,41.8858121777856],[-87.7072107271226,41.8858133786204],[-87.7071813439606,41.8858137672626],[-87.707170393149,41.8854760007557],[-87.7071997766921,41.8854755572333]]]]}",3222,3222,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114100070000,16-11-410-007-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7128461698141,41.8851261810903],[-87.7129379692553,41.8851272259058],[-87.7129309534835,41.8853741152216],[-87.7128391536892,41.8853730703982],[-87.7128461698141,41.8851261810903]]]]}",3443,3443,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114100220000,16-11-410-022-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.711528076303,41.885111258056],[-87.7116126787316,41.8851122100768],[-87.7116175552645,41.8853592185737],[-87.71153295251,41.8853582665543],[-87.711528076303,41.885111258056]]]]}",3409,3409,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114100230000,16-11-410-023-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7114364238089,41.8851102129092],[-87.711528076303,41.885111258056],[-87.71153295251,41.8853582665543],[-87.7114412996627,41.8853572214091],[-87.7114364238089,41.8851102129092]]]]}",3407,3407,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114110230000,16-11-411-023-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7090461072008,41.8849631596949],[-87.7091343735399,41.8849649567328],[-87.7091441475694,41.8852662182366],[-87.7090559977834,41.8852674953942],[-87.7090461072008,41.8849631596949]]]]}",3307,3307,W,WALNUT,ST,EAST GARFIELD PARK,28,sold
16114120490000,16-11-412-049-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7079308033224,41.8836908413914],[-87.7080227683358,41.8836897505234],[-87.7080323870344,41.8840289916982],[-87.7079403839513,41.8840264050764],[-87.7079308033224,41.8836908413914]]]]}",3246,3246,W,MAYPOLE,AVE,EAST GARFIELD PARK,28,sold
16114120510000,16-11-412-051-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7077473139414,41.8836930253066],[-87.7078353859933,41.8836919682668],[-87.7078448567088,41.8840236894161],[-87.7077566715801,41.8840212332119],[-87.7077473139414,41.8836930253066]]]]}",3240,3240,W,MAYPOLE,AVE,EAST GARFIELD PARK,28,sold
16114130350000,16-11-413-035-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7088606688778,41.8829023753227],[-87.7089047405433,41.8829019014621],[-87.7090002290612,41.8829008838532],[-87.7090076872885,41.88314571118],[-87.7089122707788,41.8831468389559],[-87.7088681249691,41.8831473673009],[-87.7088606688778,41.8829023753227]]]]}",3306,3306,W,WASHINGTON,BLVD,EAST GARFIELD PARK,28,sold
16114140280000,16-11-414-028-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7062794295032,41.8823327099657],[-87.706435294944,41.8823310362167],[-87.7064628394266,41.8823307474963],[-87.7064723179982,41.8826534128565],[-87.7064452140223,41.8826537039837],[-87.7062887602703,41.8826553745327],[-87.7062794295032,41.8823327099657]]]]}",52,52,N,KEDZIE,AVE,EAST GARFIELD PARK,28,sold
