pin14,pin,geom,full_address,community,ward
16093120030000,16-09-312-003-0000,01060000200F910100010000000103000000010000000500000010AE4761A4693141205C8FC2E0023D416066666626693141E051B81EDE023D41608FC2F524693141C0F528DC06033D41608FC2F5A26931410000008009033D4110AE4761A4693141205C8FC2E0023D41,231 N LOCKWOOD,AUSTIN,28
16093150290000,16-09-315-029-0000,01060000200F910100010000000103000000010000000D00000090C2F5A83C643141C0CCCC4C9AFF3C4180EB51B81B643141A047E17A99FF3C412085EBD1076431410000000099FF3C410000000007643141608FC2F5B1FF3C41E07A142E06643141608FC2F5CAFF3C41606666E6B7643141C0F5285CCFFF3C41D0A370BDB8643141C0F5285CB6FF3C41F0285C8FB964314120AE47619DFF3C41400AD7A394643141608FC2759CFF3C4190C2F5A87E643141C01E85EB9BFF3C41400AD7A36864314120AE47619BFF3C4190C2F5A852643141803D0AD79AFF3C4190C2F5A83C643141C0CCCC4C9AFF3C41,120 N LOTUS AVE,AUSTIN,28
16093160260000,16-09-316-026-0000,01060000200F910100010000000103000000010000000700000010D7A37033663141205C8FC287003D41305C8F42A76531412085EB5184003D41C01E856BA6653141C0CCCC4C9D003D4140E17A94A56531418014AE47B6003D41D0A370BD31663141E0A370BDB9003D41A099999932663141205C8FC2A0003D4110D7A37033663141205C8FC287003D41,142 N LONG AVE,AUSTIN,28
16093170140000,16-09-317-014-0000,01060000200F9101000100000001030000000100000005000000703D0AD7A767314180EB5138FD003D41F051B89E12673141205C8FC2F9003D41608FC27511673141C0F528DC1B013D41400AD7A3A66731412085EB511F013D41703D0AD7A767314180EB5138FD003D41,154 N LOREL AVE,AUSTIN,28
16093170310000,16-09-317-031-0000,01060000200F910100010000000103000000010000000500000000000080BA67314100295C8FEFFE3C4150B81E858867314120AE4761EEFE3C4140E17A14846731412085EB516BFF3C41F0285C0FB6673141000000806CFF3C4100000080BA67314100295C8FEFFE3C41,5331 W WASHINGTON BLVD,AUSTIN,28
16093190180000,16-09-319-018-0000,01060000200F9101000100000001030000000100000009000000D0CCCC4CC8643141C0F5285CDBFD3C41C01E856B1664314100000000D7FD3C41A099991916643141A047E1FAE0FD3C41D0CCCC4C15643141608FC2F5F9FD3C41D0A3703D15643141608FC2F5FBFD3C41F051B81EC76431412085EB5100FE3C41E07A142EC76431412085EB51FEFD3C41B047E1FAC76431412085EB51E5FD3C41D0CCCC4CC8643141C0F5285CDBFD3C41,48 N LOTUS AVE,AUSTIN,29
16093230100000,16-09-323-010-0000,01060000200F910100010000000103000000010000000500000090C2F52853693141E051B81EFBFD3C41608FC2F55169314140E17A141CFE3C4110D7A3F0CE69314160B81E051FFE3C41400AD723D069314100295C0FFEFD3C4190C2F52853693141E051B81EFBFD3C41,47 N. LOCKWOOD,AUSTIN,28
16094030370000,16-09-403-037-0000,01060000200F9101000100000001030000000100000005000000703D0A57A36C31418014AE47B5033D41B047E17A896C314100295C8FB4033D4110AE47E1826C3141E0A370BD72043D41305C8FC29C6C3141A047E17A73043D41703D0A57A36C31418014AE47B5033D41,5136 W FULTON ST,AUSTIN,28
16101080410000,16-10-108-041-0000,01060000200F91010001000000010300000001000000070000002085EB5111783141A047E1FAAE0A3D4110AE4761F9773141C0F5285CAE0A3D41E07A142EF5773141205C8F42290B3D41F051B81E0D783141606666E6290B3D4190C2F5281A783141205C8F422A0B3D41C0F5285C1E7831412085EB51AF0A3D412085EB5111783141A047E1FAAE0A3D41,4706 W RACE,AUSTIN,28
16114010080000,16-11-401-008-0000,01060000200F910100010000000103000000010000000500000030333333BE983141E07A142E87063D4130333333A5983141A0703D8A86063D4180EB5138A098314160B81E0526073D4180EB5138B9983141E051B89E26073D4130333333BE983141E07A142E87063D41,3440 W CARROLL AVE,EAST GARFIELD PARK,28
16114010090000,16-11-401-009-0000,01060000200F9101000100000001030000000100000005000000E07A142ED7983141C0CCCCCC87063D4130333333BE983141E07A142E87063D4180EB5138B9983141E051B89E26073D4130333333D298314180EB513827073D41E07A142ED7983141C0CCCCCC87063D41,3438 W CARROLL AVE,EAST GARFIELD PARK,28
16114010110000,16-11-401-011-0000,01060000200F9101000100000001030000000100000005000000E07A142E09993141A0703D0A89063D41E07A142EF0983141C01E856B88063D4130333333EB9831412085EBD127073D413033333304993141C01E856B28073D41E07A142E09993141A0703D0A89063D41,3434 W CARROLL AVE,EAST GARFIELD PARK,28
16114030200000,16-11-403-020-0000,01060000200F9101000100000001030000000100000005000000305C8FC24C973141C0CCCCCCA5053D41F0285C8F33973141400AD723A5053D41C0F5285C2F97314180EB51383B063D4140E17A9448973141C0F528DC3B063D41305C8FC24C973141C0CCCCCCA5053D41,3513 W CARROLL AVE,EAST GARFIELD PARK,28
16114030280000,16-11-403-028-0000,01060000200F91010001000000010300000001000000050000002085EB514096314180EB51B8F4043D41303333B321963141606666E6F3043D4150B81E851D9631418014AEC789053D41400AD7233C96314140E17A948A053D412085EB514096314180EB51B8F4043D41,3540 W FULTON BLVD,EAST GARFIELD PARK,28
16114030350000,16-11-403-035-0000,01060000200F910100010000000103000000010000000900000040E17A141F973141E051B89EFA043D4110AE47E105973141608FC2F5F9043D4190C2F5A8EC9631418014AE47F9043D41B047E17AE8963141400AD7238F053D41303333B3019731412085EBD18F053D41606666E61A9731410000008090053D41F051B81E3497314180C2F52891053D41D0CCCC4C38973141C0CCCC4CFB043D4140E17A141F973141E051B89EFA043D41,3518 W FULTON BLVD,EAST GARFIELD PARK,28
16114030390000,16-11-403-039-0000,01060000200F9101000100000001030000000100000009000000703D0A57B6973141400AD7A3FE043D41400AD7239D973141A047E1FAFD043D41C01E85EB83973141C0CCCC4CFD043D41D0A370BD7F97314180C2F52893053D41608FC2F598973141803D0AD793053D4190C2F528B29731410000008094053D41608FC2F5CA97314180C2F52895053D41400AD723CF973141C0CCCC4CFF043D41703D0A57B6973141400AD7A3FE043D41,3500 W FULTON BLVD,EAST GARFIELD PARK,28
16114040350000,16-11-404-035-0000,01060000200F9101000100000001030000000100000007000000A0703D0A3C993141608FC2F508053D41A0703D0A2899314100D7A37008053D41A0703D0A14993141606666E607053D4110AE47E10F993141400AD7239D053D4110AE47E123993141400AD7A39D053D4110D7A3F037993141400AD7239E053D41A0703D0A3C993141608FC2F508053D41,3430 W FULTON BLVD,EAST GARFIELD PARK,28
16114040420000,16-11-404-042-0000,01060000200F9101000100000001030000000100000009000000D0CCCCCCF8993141A047E1FA0D053D41D0CCCCCCDF993141C0CCCC4C0D053D412085EBD1DA99314180C2F5280D053D4110D7A3F0D6993141A0999919A2053D41C01E85EBDB99314180EB5138A2053D41C01E85EBF4993141803D0AD7A2053D41C01E85EB089A3141803D0A57A3053D41D0CCCCCC0C9A3141000000800E053D41D0CCCCCCF8993141A047E1FA0D053D41,3408 W FULTON BLVD,EAST GARFIELD PARK,28
16114040450000,16-11-404-045-0000,01060000200F910100010000000103000000010000000500000080EB51B85C9A3141E051B89E10053D418014AEC7439A3141608FC2F50F053D41606666E63F9A3141403333B3A4053D41C0F528DC589A31412085EB51A5053D4180EB51B85C9A3141E051B89E10053D41,314 N HOMAN AVE,EAST GARFIELD PARK,28
16114050630000,16-11-405-063-0000,01060000200F910100010000000103000000010000000500000080EB5138FB9C3141C0F5285C21053D4180EB5138E39C3141205C8FC220053D41C0F5285CDF9C314160666666B5053D41C0F5285CF79C314100000000B6053D4180EB5138FB9C3141C0F5285C21053D41,3300 W FULTON BLVD,EAST GARFIELD PARK,28
16114060170000,16-11-406-017-0000,01060000200F910100010000000103000000010000000500000080EB513840973141A0703D0A1F043D41608FC2F541973141C01E85EBBB033D41F051B81E2D973141A0999919BC033D41606666662B973141000000801E043D4180EB513840973141A0703D0A1F043D41,3514 W WALNUT ST,EAST GARFIELD PARK,28
16114070010000,16-11-407-001-0000,01060000200F9101000100000001030000000100000007000000D0CCCCCC38983141E07A14AE34043D418014AEC71F983141E0A3703D34043D418014AEC7069831418014AEC733043D41606666E60398314180C2F5A89C043D41606666E61C9831412085EB519D043D41606666E635983141A047E1FA9D043D41D0CCCCCC38983141E07A14AE34043D41,3459 W FULTON ST,EAST GARFIELD PARK,28
16114070100000,16-11-407-010-0000,01060000200F9101000100000001030000000100000005000000305C8FC219993141E0A370BD38043D41305C8FC2009931418014AE4738043D412085EBD1FD9831418014AE47A3043D412085EBD11699314100D7A3F0A3043D41305C8FC219993141E0A370BD38043D41,3435 W FULTON ST,EAST GARFIELD PARK,28
16114070120000,16-11-407-012-0000,01060000200F910100010000000103000000010000000700000090C2F5284099314100D7A37039043D41400AD7233A9931412085EB5139043D41305C8FC22D993141A099991939043D412085EBD12A993141A047E17AA4043D41E07A142E37993141C0CCCCCCA4043D41303333333D993141608FC2F5A4043D4190C2F5284099314100D7A37039043D41,3431 W FULTON BLVD,EAST GARFIELD PARK,28
16114080200000,16-11-408-020-0000,01060000200F91010001000000010300000001000000070000002085EBD1029D3141A047E17A27043D412085EBD1EA9C314120AE47E126043D412085EBD1D29C31418014AE4726043D41F051B81ECE9C314140333333BC043D41A0999919E69C3141C0CCCCCCBC043D41A0999919FE9C314160666666BD043D412085EBD1029D3141A047E17A27043D41,3301 W FULTON BLVD,EAST GARFIELD PARK,28
16114080250000,16-11-408-025-0000,01060000200F910100010000000103000000010000000D000000305C8FC2C29D3141205C8F422C043D41305C8FC2AA9D314180C2F5A82B043D41305C8FC2929D314100295C0F2B043D418014AEC77A9D3141608FC2752A043D41F0285C0F769D314120AE4761C0043D41F0285C0F8E9D3141A047E1FAC0043D41A0703D0AA69D314140E17A94C1043D41A0703D0ABE9D3141E07A142EC2043D4150B81E05D69D31418014AEC7C2043D41A0703D0AEE9D3141C0F5285CC3043D41D0A370BDF29D314100D7A3702D043D41D0A370BDDA9D3141C0F528DC2C043D41305C8FC2C29D3141205C8F422C043D41,3243 W FULTON BLVD,EAST GARFIELD PARK,28
16114080800000,16-11-408-080-0000,01060000200F9101000100000001030000000100000005000000C01E856B4A9E3141205C8F42A4033D41A0703D8A469E3141A0703D8A1F043D418014AEC7599E314160B81E0520043D4190C2F5A85D9E3141205C8FC2A4033D41C01E856B4A9E3141205C8F42A4033D41,3232 W WALNUT ST,EAST GARFIELD PARK,28
16114080850000,16-11-408-085-0000,01060000200F91010001000000010300000001000000070000008014AE47BA9E3141E0A3703DA7033D418014AE47A19E314140E17A94A6033D41606666669D9E3141403333B321043D4160666666B69E31412085EB5122043D4160666666BE9E314160B81E8522043D418014AE47C29E3141608FC275A7033D418014AE47BA9E3141E0A3703DA7033D41,3222 W WALNUT ST,EAST GARFIELD PARK,28
16114100070000,16-11-410-007-0000,01060000200F9101000100000001030000000100000005000000E07A14AEB9983141205C8FC21C033D41E07A14AEA0983141608FC2F51C033D4110D7A3F0A198314100D7A3F076033D4110D7A3F0BA983141E0A370BD76033D41E07A14AEB9983141205C8FC21C033D41,3443 W WALNUT ST,EAST GARFIELD PARK,28
16114100220000,16-11-410-022-0000,01060000200F9101000100000001030000000100000005000000400AD7A3209A3141C01E85EB19033D41A0999999099A3141A09999191A033D41F051B89E079A3141A099991974033D4190C2F5A81E9A3141C01E85EB73033D41400AD7A3209A3141C01E85EB19033D41,3409 W WALNUT ST,EAST GARFIELD PARK,28
16114100230000,16-11-410-023-0000,01060000200F9101000100000001030000000100000005000000A0999999399A314180EB51B819033D41400AD7A3209A3141C01E85EB19033D4190C2F5A81E9A3141C01E85EB73033D41F051B89E379A314180EB51B873033D41A0999999399A314180EB51B819033D41,3407 W WALNUT ST,EAST GARFIELD PARK,28
16114110230000,16-11-411-023-0000,01060000200F910100010000000103000000010000000500000010AE47E1C49C3141C0F528DCE8023D41703D0AD7AC9C3141803D0A57E9023D4110AE4761A99C3141A099991957033D4110AE4761C19C3141E0A370BD57033D4110AE47E1C49C3141C0F528DCE8023D41,3307 W WALNUT ST,EAST GARFIELD PARK,28
16114120490000,16-11-412-049-0000,01060000200F9101000100000001030000000100000005000000608FC2F5F79D314100D7A3701B013D41C01E85EBDE9D3141C0F528DC1A013D4160666666DB9D3141608FC27596013D41608FC275F49D3141403333B395013D41608FC2F5F79D314100D7A3701B013D41,3246 W MAYPOLE AVE,EAST GARFIELD PARK,28
16114120510000,16-11-412-051-0000,01060000200F9101000100000001030000000100000005000000C01E85EB299E3141A09999991C013D4110D7A3F0119E3141A0703D0A1C013D41B047E17A0E9E3141606666E694013D4100000080269E3141E07A142E94013D41C01E85EB299E3141A09999991C013D41,3240 W MAYPOLE AVE,EAST GARFIELD PARK,28
16114130350000,16-11-413-035-0000,01060000200F9101000100000001030000000100000007000000703D0AD7FC9C31418014AE47FAFF3C41703D0AD7F09C314160B81E05FAFF3C41703D0AD7D69C3141608FC275F9FF3C4190C2F528D49C314180C2F5A852003D41400AD723EE9C3141205C8F4253003D4190C2F528FA9C3141A0703D8A53003D41703D0AD7FC9C31418014AE47FAFF3C41,3306 W WASHINGTON BLVD,EAST GARFIELD PARK,28
16114140280000,16-11-414-028-0000,01060000200F9101000100000001030000000100000007000000305C8F42BD9F31412085EBD12FFF3C412085EBD1929F3141606666E62EFF3C412085EB518B9F3141E0A370BD2EFF3C4110AE47E1879F3141C0CCCC4CA4FF3C41305C8F428F9F3141608FC275A4FF3C41C0F528DCB99F314120AE4761A5FF3C41305C8F42BD9F31412085EBD12FFF3C41,3207 W WASHINGTON BLVD/52 N KEDZIE AVE,EAST GARFIELD PARK,28
16123050080000,16-12-305-008-0000,01060000200F910100010000000103000000010000000500000010AE47E1F5A33141A047E1FA4B053D41B047E1FAF2A33141E07A142EB0053D41608FC2F50BA43141C0CCCCCCB0053D41C01E85EB0EA4314100295C8F4C053D4110AE47E1F5A33141A047E1FA4B053D41,313 N WHIPPLE ST/3018 W FULTON ST,EAST GARFIELD PARK,27
16123060240000,16-12-306-024-0000,01060000200F9101000100000001030000000100000005000000D0A3703D0DA53141608FC27552053D4110AE476108A5314160B81E85E8053D416066666630A5314100000080E9053D41305C8F4235A5314120AE476153053D41D0A3703D0DA53141608FC27552053D41,311 N SACRAMENTO AVE,EAST GARFIELD PARK,27
16123060270000,16-12-306-027-0000,01060000200F910100010000000103000000010000000500000050B81E8567A5314100295C8F54053D4190C2F5A862A5314180EB51B8EA053D418014AEC77BA53141803D0A57EB053D41400AD7A380A53141400AD72355053D4150B81E8567A5314100295C8F54053D41,2948 W FULTON ST,EAST GARFIELD PARK,27
16123080340000,16-12-308-034-0000,01060000200F910100010000000103000000010000000500000010AE47E1D0A031418014AE47B4033D41F051B89ECCA0314180C2F5A83B043D4100000000DFA0314140E17A143C043D41305C8F42E3A03141E07A14AEB4033D4110AE47E1D0A031418014AE47B4033D41,3134 W WALNUT ST,EAST GARFIELD PARK,27
16123080410000,16-12-308-041-0000,01060000200F91010001000000010300000001000000050000006066666662A1314160B81E85B7033D41400AD7235EA13141A0703D0A3F043D41400AD72372A13141000000803F043D416066666676A13141608FC2F5B7033D416066666662A1314160B81E85B7033D41,3120 W WALNUT ST,EAST GARFIELD PARK,27
